scoring,cv_cycle,AdaBoostClassifier,ExtraTreesClassifier,KNeighborsClassifier,LogisticRegression,SVC
neg_log_loss,2,-0.6169404144174139,-0.5326617014410391,-0.5501470569239122,-0.5609652770442884,-0.37333867353359546
neg_log_loss,3,-0.4837039845822772,-0.4808543781348565,-0.5029902938721826,-0.7297502678939032,-0.2754678505014295
neg_log_loss,4,-0.4651366705276856,-0.4720064797049904,-0.5319893917927683,-0.939682930482569,-0.35009723656273634
neg_log_loss,5,-0.510750336897047,-0.4210912698970893,-0.5760293136794312,-0.3555700124748167,-0.27347598020835956
neg_log_loss,6,-0.509779861032689,-0.572035712750493,-0.5627014263742984,-0.9487231326060419,-0.44819422934309733
neg_log_loss,7,-0.41132641745782417,-0.4653483086279306,-0.6022946538670073,-0.5873801833935636,-0.3768658605049496
neg_log_loss,8,-0.4673650506630341,-0.4691148560640635,-0.5106249587897528,-0.6930426298042671,-0.22123054331701217
neg_log_loss,9,-0.49487494120770803,-0.46916795991045773,-0.5824270685799241,-1.1189847520341627,-0.3498398751708918
neg_log_loss,10,-0.3969664842197675,-0.4952567240331889,-0.5594880961379741,-0.4619750418652125,-0.413226303173039
neg_log_loss,11,-0.4187019967528784,-0.45373373772176323,-0.5661589981816167,-0.9526667816960727,-0.3191166120126949
neg_log_loss,12,-0.6916995908586269,-0.5796625924781657,-0.5254747787572606,-0.42143054986784206,-0.5234597163434932
neg_log_loss,13,-0.46432135597377006,-0.49236349825002695,-0.6470565648739542,-1.010876098359044,-0.33644893954957017
neg_log_loss,14,-0.8380122859964557,-0.5289187782266652,-0.5966511352598826,-1.4097568117364583,-0.3861023307319826
neg_log_loss,15,-0.423220467396747,-0.4655184478410905,-0.5603263005299471,-0.9639913104358112,-0.30092875017802445
neg_log_loss,16,-0.6423713685610376,-0.5736935558364008,-0.6237320841837339,-1.5657855935306453,-0.6772091998264756
neg_log_loss,17,-0.5487143734628136,-0.5882510657334206,-0.5601718364758369,-0.6611954468079043,-0.4303500363538118
neg_log_loss,18,-0.5715609801141256,-0.5390650117442751,-0.5174599428640367,-0.7322419360527586,-0.3083787380522755
neg_log_loss,19,-0.4782239568366129,-0.4157904162314978,-0.5608011356228336,-1.0784150609291507,-0.34802497609162936
neg_log_loss,20,-0.5615839397377493,-0.5115355000341898,-0.5877652049382758,-0.8015328014912552,-0.2860974712917546
neg_log_loss,21,-0.5522223808361385,-0.5177638453877081,-0.5879877239845991,-1.539032894484986,-0.4832569101034721
neg_log_loss,22,-0.5112976485756923,-0.5970978301050112,-0.6005199766660951,-0.9439708048419265,-0.19500680741461604
neg_log_loss,23,-0.5880932883171491,-0.5347377804607688,-0.5270374400868681,-0.8912187943160311,-0.390867709186334
neg_log_loss,24,-0.6390176992214599,-0.5295922608590321,-0.5428488298772184,-0.3678388604881457,-0.2631754547744619
neg_log_loss,25,-0.4158174114090909,-0.4618369286239395,-0.5728094976206467,-1.2214237514032924,-0.38425580792871217
neg_log_loss,mean,-0.533,-0.511,-0.566,-0.906,-0.366
neg_log_loss,median,-0.511,-0.512,-0.563,-0.94,-0.35
neg_log_loss,std,0.101,0.053,0.035,0.365,0.1
precision,1,0.6666666666666666,0.75,1.0,0.5,0.8
precision,2,0.5714285714285714,1.0,1.0,0.75,0.8
precision,3,0.8333333333333334,1.0,1.0,0.6666666666666666,1.0
precision,4,0.7142857142857143,0.8333333333333334,1.0,0.7142857142857143,0.7142857142857143
precision,5,1.0,1.0,1.0,0.8333333333333334,1.0
precision,6,0.8333333333333334,0.8,1.0,0.75,0.7142857142857143
precision,7,1.0,1.0,0.75,0.6,0.8333333333333334
precision,8,0.8333333333333334,0.8571428571428571,1.0,0.8333333333333334,1.0
precision,9,1.0,0.8333333333333334,1.0,0.6,1.0
precision,10,1.0,1.0,0.8,0.7142857142857143,1.0
precision,11,0.8333333333333334,0.7142857142857143,1.0,0.7142857142857143,0.7142857142857143
precision,12,0.625,0.5714285714285714,1.0,0.8,0.5714285714285714
precision,13,1.0,1.0,1.0,0.6,1.0
