scoring,cv_cycle,AdaBoostClassifier,CatBoostClassifier,ExtraTreesClassifier,GradientBoostingClassifier,KNeighborsClassifier,LogisticRegression,MLPClassifier,RandomForestClassifier,SVC,XGBClassifier
f1,9,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.625,0.6666666666666666,0.5454545454545454,0.6666666666666666,0.8333333333333334,0.9090909090909091,0.8
f1,10,0.8,0.8,0.9090909090909091,0.8,0.7272727272727273,0.7692307692307693,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.6666666666666666
f1,11,0.8333333333333334,0.8333333333333334,0.7692307692307693,0.7272727272727273,0.6666666666666666,0.7692307692307693,0.8571428571428571,0.7692307692307693,0.7692307692307693,0.7272727272727273
f1,12,0.7142857142857143,0.7142857142857143,0.6153846153846154,0.8,0.8,0.7272727272727273,0.7272727272727273,0.7142857142857143,0.6153846153846154,0.8
f1,13,0.9090909090909091,0.9090909090909091,0.8,0.9090909090909091,0.2857142857142857,0.5454545454545454,0.6666666666666666,0.9090909090909091,0.8,0.6666666666666666
f1,14,0.4444444444444444,0.5,0.8333333333333334,0.36363636363636365,0.6666666666666666,0.3333333333333333,0.6153846153846154,0.7272727272727273,0.9090909090909091,0.36363636363636365
f1,15,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.8333333333333334,1.0
f1,16,0.6,0.7272727272727273,0.6666666666666666,0.8333333333333334,0.5,0.5,0.5454545454545454,0.6153846153846154,0.6153846153846154,0.36363636363636365
f1,17,0.8,0.8,0.8,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.6,0.8,0.8333333333333334,0.8
f1,18,0.7692307692307693,0.8571428571428571,0.7142857142857143,0.7142857142857143,1.0,0.6666666666666666,0.8,0.7142857142857143,0.9230769230769231,0.6666666666666666
f1,19,0.8,0.8,0.8,0.6666666666666666,0.8,0.7272727272727273,0.8333333333333334,0.9090909090909091,0.8,0.8
f1,20,0.9230769230769231,0.9230769230769231,0.8333333333333334,0.8333333333333334,0.5,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334
f1,21,0.7692307692307693,0.6,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.5454545454545454,0.6666666666666666,0.7692307692307693,0.6666666666666666,0.6
f1,22,0.7142857142857143,0.8333333333333334,0.6666666666666666,0.6153846153846154,0.8,0.5454545454545454,0.7692307692307693,0.6666666666666666,1.0,0.6153846153846154
f1,23,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.6666666666666666
f1,24,0.5454545454545454,0.5,0.6666666666666666,0.2857142857142857,0.8,0.9230769230769231,0.9230769230769231,0.2857142857142857,0.9090909090909091,0.8333333333333334
f1,25,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.8,0.5,0.5714285714285714,0.6666666666666666,0.8,0.8333333333333334,0.7692307692307693
f1,mean,0.762013098013098,0.7704695304695305,0.7982817182817182,0.7182121212121213,0.6808831168831168,0.6667372627372627,0.7238894438894438,0.7621858141858142,0.8234312354312354,0.71215984015984
f1,median,0.8,0.8,0.8,0.7272727272727273,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.7692307692307693,0.8333333333333334,0.6666666666666666
f1,std,0.1399277619510262,0.11980626466609064,0.11251862133954733,0.1632212713098406,0.16210602486964704,0.1387921286181888,0.09334746208539708,0.13020966402694217,0.104679210509661,0.14228636078265935
neg_brier_score,1,-0.21700394018273414,-0.18156311418869067,-0.2116416666666667,-0.41551673135569067,-0.20687500000000003,-0.36456851598076234,-0.2519505939544746,-0.19107499999999997,-0.15369745920120523,-0.24388124183338664
neg_brier_score,2,-0.21536889150017388,-0.16675539436412437,-0.17298333333333335,-0.2462382883889915,-0.1804166666666667,-0.20310637258733277,-0.1915648770936564,-0.16693333333333335,-0.11684459325385739,-0.32917552133875366
neg_brier_score,3,-0.15313211099309723,-0.13397207353946347,-0.15,-0.22272094810096735,-0.15979166666666664,-0.21132332956532485,-0.15144837204721662,-0.13565833333333335,-0.07490992697294137,-0.2312082652496791
neg_brier_score,4,-0.1438727903575941,-0.1489096356038285,-0.1497,-0.20603924254815875,-0.17333333333333334,-0.21731221556490055,-0.19007231631537316,-0.16605,-0.1160144399681714,-0.24923081739551708
neg_brier_score,5,-0.1635810857823433,-0.12188936397138866,-0.12298333333333333,-0.0833129428578632,-0.19541666666666668,-0.1205803563005573,-0.10516048164950531,-0.13398333333333334,-0.08039802825859925,-0.06123302885387875
neg_brier_score,6,-0.16416814010709588,-0.1368997282656901,-0.193025,-0.1511347532140137,-0.18750000000000003,-0.17481265011457503,-0.16353058537244955,-0.14499166666666666,-0.1568399002402057,-0.17816583676954115
neg_brier_score,7,-0.11817880092576831,-0.130741269137665,-0.14419166666666666,-0.08332961964663473,-0.20625000000000004,-0.22846549706102381,-0.1473217844379081,-0.15114999999999998,-0.09955524397107,-0.15447343170478445
neg_brier_score,8,-0.1466066875309028,-0.11901966072550955,-0.14356666666666665,-0.2268318424052289,-0.16187500000000002,-0.16836220712126718,-0.15108556952699476,-0.14658333333333334,-0.08941581545819334,-0.21036880447965758
neg_brier_score,9,-0.16217967753116544,-0.1685953890018883,-0.14500833333333338,-0.4457366972993204,-0.19729166666666667,-0.2988882097123163,-0.21174376805246423,-0.16419166666666665,-0.10891732167937289,-0.14918943104578034
neg_brier_score,10,-0.11858169651280968,-0.13824638759220412,-0.1546916666666667,-0.1662937269797302,-0.18583333333333338,-0.15919453530955255,-0.10897440170196909,-0.155775,-0.10153668349557243,-0.17049663408050786
neg_brier_score,11,-0.13556928168917118,-0.1365799091413365,-0.13947500000000002,-0.2506701808793665,-0.19020833333333334,-0.20489281636758816,-0.1548715966496131,-0.140325,-0.10712734354105839,-0.17869032278612493
neg_brier_score,12,-0.24371587255370195,-0.2429885199091716,-0.196825,-0.20835923832755268,-0.1704166666666667,-0.14285843997440315,-0.1743771196861046,-0.21408333333333338,-0.18153037260781724,-0.25867845477421564
neg_brier_score,13,-0.14184461452079103,-0.1411137085742661,-0.15667500000000004,-0.03538842664602739,-0.22791666666666668,-0.3266989055625055,-0.17758397732343947,-0.16690000000000002,-0.10754452118839614,-0.14242150426596564
neg_brier_score,14,-0.30384424851175335,-0.23342509817046878,-0.17327499999999998,-0.5243266214081813,-0.20333333333333337,-0.46165181902892255,-0.3155039501120274,-0.21934999999999996,-0.11813112985206274,-0.40717298232488125
neg_brier_score,15,-0.1242096557194133,-0.10934084224223,-0.14230833333333334,-0.06819907504496488,-0.18604166666666666,-0.13483569664465103,-0.14448775987214266,-0.1206666666666667,-0.10782570993399902,-0.026428580965358595
neg_brier_score,16,-0.2253139024440237,-0.20678637794432486,-0.19399166666666667,-0.17634837934501965,-0.2177083333333333,-0.45404317532171695,-0.3364931467160642,-0.22715833333333335,-0.24647782849084973,-0.32955045275285694
neg_brier_score,17,-0.1814515618701116,-0.17035625839423807,-0.20095,-0.3109552153917516,-0.18604166666666666,-0.15362099727615802,-0.20468460050424475,-0.16138333333333335,-0.12789224295822285,-0.14047518666557804
neg_brier_score,18,-0.19501925530950348,-0.15473300706215978,-0.1798916666666667,-0.28647398452895745,-0.16458333333333336,-0.27393760880347656,-0.16127043410242062,-0.21149166666666663,-0.10607667503642904,-0.28244242261034014
neg_brier_score,19,-0.1545718281940372,-0.13538258328509972,-0.126975,-0.250245478622875,-0.18729166666666666,-0.19876728755838494,-0.14682654450937113,-0.12019166666666665,-0.1209755839630531,-0.1212741167174871
neg_brier_score,20,-0.18488798675690213,-0.11070110383103172,-0.16325000000000003,-0.13702668499979717,-0.199375,-0.24824255711981133,-0.21128544451794884,-0.15941666666666668,-0.10161443741379934,-0.12594858953731455
neg_brier_score,21,-0.18818208076418239,-0.17856811342267873,-0.16969166666666669,-0.3333187326588187,-0.20145833333333338,-0.34094266599298745,-0.2624686829083947,-0.18043333333333333,-0.1675878439187176,-0.24246170034588388
neg_brier_score,22,-0.1699534984932216,-0.16358413798028998,-0.20414166666666664,-0.4165506034808925,-0.20375000000000001,-0.274421867832324,-0.19943390831352528,-0.195325,-0.09100673098726424,-0.2467612789597462
neg_brier_score,23,-0.2000120645819126,-0.14407168701272918,-0.17503333333333335,-0.22034626077807307,-0.1708333333333333,-0.2174756041000182,-0.16018737638797725,-0.16609166666666667,-0.132392040672947,-0.2091444521412047
neg_brier_score,24,-0.2231550176324761,-0.18481232915687174,-0.17434166666666664,-0.3153779092024375,-0.17729166666666665,-0.10262444825561969,-0.038657182408426256,-0.22033333333333338,-0.08106412969260167,-0.17825334987085448
neg_brier_score,25,-0.12075597043166286,-0.1451934387676717,-0.14283333333333334,-0.20692714321749398,-0.1935416666666667,-0.3324840476063789,-0.27704187550801357,-0.15990000000000001,-0.11959759583869635,-0.21110385074526192
neg_brier_score,mean,-0.17580642643586195,-0.15616916525140087,-0.165098,-0.23950674909315237,-0.189375,-0.24056447307050238,-0.18552105398686902,-0.1687776666666667,-0.12059894394380415,-0.20312921032858244
neg_brier_score,median,-0.16416814010709588,-0.1451934387676717,-0.16325000000000003,-0.22272094810096735,-0.18750000000000003,-0.21731221556490055,-0.1743771196861046,-0.16419166666666665,-0.10891732167937289,-0.2091444521412047
neg_brier_score,std,0.04408460857353994,0.03380487080532931,0.024495879844033633,0.11992512584540897,0.016875360078462857,0.09504899041915324,0.06452307334288265,0.030615669528309627,0.03663514454266127,0.08267149025111728
neg_log_loss,1,-0.6161281998749006,-0.5429942131726205,-0.6091397449999058,-1.6623454270097247,-0.6040129278005685,-1.6945434018900853,-0.7918584257769804,-0.564300810042484,-0.44341011323973384,-0.7052097837035186
neg_log_loss,2,-0.6169404144174139,-0.5089129185481456,-0.5326617014410391,-1.879558871450801,-0.5501470569239122,-0.5609652770442884,-0.5556018226520518,-0.516010820174129,-0.3622756663679752,-1.1463133910124275
neg_log_loss,3,-0.4837039845822772,-0.43524618369268486,-0.4808543781348565,-0.8099380657159744,-0.5029902938721826,-0.7297502678939032,-0.4056108223861332,-0.43955723389435547,-0.2612888545875665,-0.6696014493536153
neg_log_loss,4,-0.4651366705276856,-0.46466967838022327,-0.4720064797049904,-1.3376570797460257,-0.5319893917927683,-0.939682930482569,-0.644616481436728,-0.507059940005378,-0.3595386326065999,-0.8145221794278608
neg_log_loss,5,-0.510750336897047,-0.41093119648884335,-0.4210912698970893,-0.7118310708278864,-0.5760293136794312,-0.3555700124748167,-0.2865456657129025,-0.4426535828188843,-0.3035097292839302,-0.22243837890562812
neg_log_loss,6,-0.509779861032689,-0.44463064307825007,-0.572035712750493,-0.5125604419364287,-0.5627014263742984,-0.9487231326060419,-0.4391947231647793,-0.4596499124967052,-0.44704046374108986,-0.49919194971689995
neg_log_loss,7,-0.41132641745782417,-0.4302044875708934,-0.4653483086279306,-0.8727436336300666,-0.6022946538670073,-0.5873801833935636,-0.3894553782269598,-0.4807215059601097,-0.3337964398495834,-0.5608321087795313
neg_log_loss,8,-0.4673650506630341,-0.40211983979403904,-0.4691148560640635,-1.8215209186365247,-0.5106249587897528,-0.6930426298042671,-0.4584580344505569,-0.46978177574880814,-0.3323534518745805,-0.6316416487803617
