scoring,cv_cycle,AdaBoostRegressor,CatBoostRegressor,ElasticNetCV,ExtraTreesRegressor,GradientBoostingRegressor,KNeighborsRegressor,LinearRegression,MLPRegressor,RandomForestRegressor,Ridge,SVR,XGBRegressor
max_error,11,-152.38857857027085,-200.94239389888145,-82.9642386593209,-175.59900054864815,-130.38039947247864,-235.76095788530634,-4.831690603168681e-13,-206.30441991353433,-146.21391948127618,-24.04270480606843,-252.0050226345752,-63.94189765090633
max_error,12,-150.54865886776673,-179.79594642974436,-71.7936588018022,-127.81474231268457,-251.23749894395394,-156.47632699206596,-3.517186542012496e-13,-192.17661370237107,-191.45629087237188,-41.51511356002273,-178.71818906845587,-255.02196852152625
max_error,13,-235.78630646608593,-173.46858410180826,-39.06703692899652,-174.2743900942028,-144.5615129636798,-160.61394445379906,-5.968558980384842e-13,-131.88492931908783,-209.88775361624283,-15.065851792686146,-212.91342946281875,-206.92678030670936
max_error,14,-398.9662905548467,-420.5369782145679,-94.8848786158668,-346.7215609970665,-402.8637538167858,-384.32823250151796,-5.684341886080801e-13,-256.80124914372027,-378.0712083943998,-45.55790169251179,-415.48005499983117,-467.86302845603575
max_error,15,-242.05632324947493,-294.54909645288956,-88.46264743872518,-242.91403888811274,-252.66403054894656,-284.079137165835,-3.979039320256561e-13,-242.97523445173545,-290.4194334997668,-47.61875349547688,-338.1727972118587,-280.32245366853954
max_error,16,-174.21884987409584,-212.53741493887958,-88.92021054589063,-211.3675899476416,-253.19085438688037,-228.42015724068685,-2.5579538487363607e-13,-204.0225549553378,-199.95925762250494,-29.566385682508468,-261.45999837315367,-171.11412360305476
max_error,17,-273.11891256150295,-274.05024633018934,-75.5196242815307,-241.60717880882387,-225.24949416655528,-250.1997499810696,-9.450218385609332e-13,-265.86080918824945,-252.42943425163924,-41.882646564291974,-315.4459208104875,-245.804925134604
max_error,18,-183.4092709979905,-175.2412848068754,-66.26307687669393,-132.08286283476014,-175.95352777864952,-204.31229349175265,-2.5934809855243657e-13,-128.59034416128264,-180.19475278615602,-36.70452376400752,-216.5995390693467,-155.05850354064017
max_error,19,-344.08002167421535,-355.22343016429284,-105.1090180497182,-361.1087058234459,-244.58664460886536,-343.7201557166907,-9.094947017729282e-13,-258.55672802394406,-302.4105839341838,-41.89886659819308,-431.24261743087465,-272.1397122634088
max_error,20,-188.2027810486441,-233.1545938458576,-48.0314942266055,-147.64930519793114,-133.11975728541518,-260.26985753500406,-3.979039320256561e-13,-115.91584145463025,-159.79795317068968,-18.603821124344222,-280.78278985094084,-143.62440396812303
max_error,21,-270.1176749291827,-295.8566193715535,-111.4335268303154,-241.9772681696435,-266.3730765165159,-284.079137165835,-6.110667527536862e-13,-268.8324808853963,-280.2031427104889,-65.81341173185467,-331.8598252599675,-300.25700109285594
max_error,22,-134.323755925276,-149.40650391095204,-18.79498015652556,-96.92322671567527,-127.57770174339504,-173.23911881795527,-5.115907697472721e-13,-94.96648687283444,-109.53818337638094,-9.414013444583496,-183.45323819603564,-108.05656850926425
max_error,23,-335.25862076195773,-352.3840239999132,-111.77975275823093,-344.34585480637895,-287.9855273237748,-373.9373753657555,-4.547473508864641e-13,-224.1394813492785,-316.2081868226905,-49.309490202863174,-451.9080674520656,-317.6421536696588
max_error,24,-185.5919136845308,-227.72283810922704,-79.21853342236992,-213.6884672280405,-369.4686134222908,-235.07363743135286,-6.323830348264892e-13,-183.73443543153672,-199.99926546723435,-28.35885813143838,-261.51081315004694,-322.60362974589145
max_error,25,-184.13071468364018,-155.96621948124408,-58.2213258515994,-146.23045253920776,-179.07155292104144,-134.10209975263106,-3.410605131648481e-13,-147.1779891373841,-167.1965366764906,-26.16428157334545,-224.02487891485697,-257.80492095838974
max_error,mean,-228.7412121187269,-243.56667558072945,-73.93059658545246,-219.3047285989561,-232.48888823416746,-246.9876495456062,-5.981348749628524e-13,-192.5426281953328,-230.9365149395593,-33.052344423156924,-282.54830079206,-242.97152013164634
max_error,median,-188.2027810486441,-212.53741493887958,-75.78492564241697,-175.83568449687948,-230.89628724852238,-235.07363743135286,-5.684341886080801e-13,-187.61278052213183,-199.99926546723435,-29.566385682508468,-261.45999837315367,-251.78852264913587
max_error,std,89.54489322443085,91.08667509763436,28.648381367416313,91.11556100668524,67.7097576909054,91.83633998425938,2.7540086476892543e-13,62.41662366545515,78.87065052479322,14.925459878914769,94.82991727830165,87.37378981363406
neg_mean_absolute_error,1,-100.62712450985157,-118.42610188538427,-46.53849525562872,-95.94569533726698,-117.51747103962555,-140.77893147005986,-7.145395386487507e-13,-105.31568903889628,-107.87651725619683,-22.454575563298274,-146.34485747451532,-139.13678058861916
neg_mean_absolute_error,2,-163.7170443506281,-179.19541581368145,-51.13363425802833,-177.0358904460404,-158.50935871649313,-179.86310680651772,-2.3092638912203256e-13,-105.17317102153703,-163.50322222753945,-22.484464606741465,-198.02688048465868,-171.76296535468293
neg_mean_absolute_error,3,-62.523241032089885,-78.10490384456155,-14.120744165100621,-61.719467456041045,-135.52299424431882,-67.94962735801857,-6.266098750984384e-13,-67.8547209013916,-85.74588532793345,-5.5742273952568535,-78.44556619562353,-90.83603188290202
