scoring,cv_cycle,ECFP2,ECFP4,ECFP6,FCFP2,FCFP4,FCFP6,MACCS,RDK5,RDK6,RDK7,avalon,mordred,pubchem,rdkdes
max_error,23,-4.092829047117158,-2.529174911001393,-1.2416698993999389,-1.6101249973267318,-3.6397716865155156,-1.2006602007430707,-1.809215358420808,-0.9640476124563571,-1.2987076473970909,-1.8338897417827775,-1.4775715748829183,-1.1140177027879798,-3.2555412953380136,-1.1386742395418787
max_error,24,-1.7774554027019651,-4.1629753336417,-2.807594064317661,-1.7286153318492528,-1.6029167727500762,-1.624366399185668,-1.4597144036852805,-1.0142594209398166,-1.7003907208435232,-0.9469878725838236,-1.7284631069226806,-1.2633354005771538,-1.4889669869466755,-1.2424501695503787
max_error,25,-5.07417481532535,-1.6077392757632114,-2.201376175435932,-1.3245736028841728,-1.7746064258336212,-3.7125648227837162,-2.284428456768724,-1.8683568752282063,-2.20718918805671,-1.5203559546486196,-3.197729139537582,-1.4709652876091939,-1.4088427791316755,-1.590112539581356
max_error,mean,-2.97635092551963,-2.814823707988393,-2.6147311317153297,-2.024298972624635,-1.901788982458346,-2.300261684803499,-1.7260568149698172,-1.5449744009331916,-1.6056814953044614,-1.3783609361672955,-1.7387872983320147,-1.5489506882451545,-1.900908364011967,-1.426283897714407
max_error,median,-2.295002524720876,-1.992303841371017,-2.2293878738367225,-1.7272753774449323,-1.6029167727500762,-1.7694149333696476,-1.598995089561417,-1.6387065260267035,-1.6870481012710017,-1.179196269354722,-1.2851647584859567,-1.4709652876091939,-1.5510427721044717,-1.380531977173217
max_error,std,1.2844438579448576,1.3773077803966793,1.1392529818401351,0.7848406645726244,0.8867363453105962,1.0709164547211458,0.7224105044466302,0.3576320044442402,0.4716649546607817,0.3901287629098895,0.897549849444621,0.4430424403199805,0.8553954306758802,0.3615275092283049
neg_mean_absolute_error,1,-0.3369809003110878,-0.3856443056716191,-0.2033289471377212,-0.3181088785662378,-0.19641966592861856,-0.23763325647456637,-0.30168969942812257,-0.19941077501141105,-0.17921657024488452,-0.2372589831927767,-0.16655558888186403,-0.2187119848208982,-0.2745715560938388,-0.19605542746999616
neg_mean_absolute_error,2,-0.3401277943949205,-0.2426778060158038,-0.22203272674468574,-0.29428890416291903,-0.23711769897513077,-0.25592276075116305,-0.3400195492003529,-0.2598941718451584,-0.2198117543959053,-0.12209486710130706,-0.1822102450140732,-0.21248271503725635,-0.33252744314539745,-0.23513851652004938
neg_mean_absolute_error,3,-0.3699321016547134,-0.32564195275300567,-0.25499548881261264,-0.2997403380828036,-0.25471077995633634,-0.2606017947740909,-0.3070571749966004,-0.30438132909029525,-0.19372646728600815,-0.1778402344822679,-0.2635176756467002,-0.19163186113015485,-0.22394074387175322,-0.17023966083179867
neg_mean_absolute_error,4,-0.32630023933237573,-0.289514652773557,-0.26231566857251043,-0.2479714192259353,-0.22341004926896416,-0.22591868717766078,-0.23496186807514766,-0.18879675165655496,-0.17018050042576036,-0.19824393654901687,-0.1918928368815915,-0.12496083000609355,-0.23073401219927417,-0.15391376275426238
neg_mean_absolute_error,5,-0.2902340455310285,-0.26334326638989863,-0.31535365486400146,-0.3408435270808031,-0.238520865181689,-0.22751235273903664,-0.2775093818784371,-0.19125281859160848,-0.30241765143530974,-0.22138842291513613,-0.29142969418359055,-0.16248030766909138,-0.22149439172538787,-0.20406710964336755
neg_mean_absolute_error,6,-0.3172282415972551,-0.27083782310062654,-0.2663377793132649,-0.2819178801366723,-0.24721487378371876,-0.2606260581134504,-0.29647114747395575,-0.2822179337848307,-0.24204140864831042,-0.22276378175478775,-0.17584877779872252,-0.19957795141002527,-0.2111134943907671,-0.1871237089827004
neg_mean_absolute_error,7,-0.46677221027625826,-0.2980522941476142,-0.22759198818460544,-0.2805124163057975,-0.25567277300676655,-0.16730667575998298,-0.2909078082282643,-0.2010263807730214,-0.1784343217133581,-0.1676694675041336,-0.22636918025644778,-0.20815074562811878,-0.24602612925037531,-0.24759386398290387
neg_mean_absolute_error,8,-0.3006586941398275,-0.32888653593758665,-0.2865799540264322,-0.332030082321889,-0.17221737781165256,-0.21321341236361208,-0.3636108035343597,-0.21656787746105674,-0.25035673487342536,-0.22650644304882098,-0.27930895579318554,-0.1844499832671932,-0.25904502956030395,-0.1732881899985172
neg_mean_absolute_error,9,-0.31869151703788223,-0.3620200508825501,-0.25399147795111005,-0.25166203806756143,-0.25653007960529955,-0.29078084157217865,-0.2952125206874255,-0.2464795275201207,-0.20621803053362603,-0.19847701221235575,-0.1803932765020167,-0.1650266844875051,-0.2883041691761931,-0.1787005726824015
neg_mean_absolute_error,10,-0.29843800011356725,-0.27534611900310163,-0.2597986516534714,-0.3208138267069998,-0.1949469853460415,-0.3214657858260491,-0.336042395534581,-0.2292010512966688,-0.20882894450439823,-0.19542710432816743,-0.25012043698321046,-0.14453455050730862,-0.2502107835125042,-0.15627579107809392
