scoring,cv_cycle,AdaBoostRegressor,CatBoostRegressor,CatBoostRegressor_opt,DummyRegressor,ElasticNetCV,ExtraTreesRegressor,GradientBoostingRegressor,KNeighborsRegressor,LinearRegression,MLPRegressor,RandomForestRegressor,Ridge,SVR,XGBRegressor
neg_mean_absolute_error,6,-0.24955506562225713,-0.15988420273524165,-0.16692384015931613,-0.7404458478481991,-0.2881956306970969,-0.1480742411842096,-0.1548852289059083,-0.2727236416259103,-0.2947035616829949,-0.19904987367668536,-0.19795544182763244,-0.2876858766072483,-0.22239166462286586,-0.15753544471769643
neg_mean_absolute_error,7,-0.27265384837481393,-0.1540998933115367,-0.1543513080454343,-0.7317792344655738,-0.3034582036313768,-0.1596188469318045,-0.16115151863975422,-0.2599407810743566,-0.31193298979982537,-0.1917761389010659,-0.1930379305577735,-0.2982763918116435,-0.20358369438641885,-0.1775022608191587
neg_mean_absolute_error,8,-0.2850942620762268,-0.16623873385156226,-0.1631331302838429,-0.8148416047060312,-0.279883480589936,-0.1566660332842269,-0.16999560377546713,-0.24944671296409324,-0.29101173974635614,-0.17918061747362415,-0.1720640427486894,-0.26938946897901433,-0.20161279756648376,-0.18074268490954143
neg_mean_absolute_error,9,-0.28190841373806386,-0.1451184457340211,-0.14912091646882097,-0.8161925849077777,-0.2566499255574374,-0.1539735358520569,-0.14547884241470252,-0.21392067376667562,-0.25434096726208805,-0.16920972638604856,-0.16838953575327026,-0.25783422010196455,-0.1991940733268785,-0.16223342863260581
neg_mean_absolute_error,10,-0.2519432495641256,-0.12375998608162307,-0.1318106529406822,-0.7154721168442589,-0.26040062560344834,-0.13161971062252836,-0.1376538876623368,-0.19201033877490434,-0.2696284520742495,-0.1737087207397839,-0.14199707547421153,-0.2568760253700021,-0.1793473773884424,-0.15048545244722683
neg_mean_absolute_error,11,-0.22558904650876876,-0.1331600511620668,-0.13869934634894368,-0.6689407688120779,-0.2647325248277827,-0.13706813492304895,-0.14585791886426722,-0.21733124590251124,-0.28115698076067314,-0.17255911240470276,-0.1599325381488073,-0.25168540538391704,-0.17331926513867976,-0.1620544784141009
neg_mean_absolute_error,12,-0.25399459217991177,-0.1547879516872526,-0.15562028885943263,-0.7232712816799878,-0.266914427866943,-0.1460064122029136,-0.17764247749086282,-0.2019248683233918,-0.2881984078095143,-0.2090845573701255,-0.16992813802383328,-0.27191475343285026,-0.19309370233424436,-0.1843156405966047
neg_mean_absolute_error,13,-0.32164549874094417,-0.20427597407305523,-0.22409165322108698,-0.855633736939616,-0.2999029476144857,-0.2159713141881359,-0.2363390230061874,-0.32012335702567335,-0.31078981964334085,-0.22533371185865408,-0.25280911189933636,-0.29921822825637756,-0.25578844789207367,-0.22720599773904693
neg_mean_absolute_error,14,-0.2751423803661702,-0.1447824341089671,-0.147220888931684,-0.7754313964179631,-0.2773603853708363,-0.15280086897378722,-0.15561694112350832,-0.23189628871072165,-0.29763685408840146,-0.19548137442124544,-0.17045736473456635,-0.2745903491440439,-0.2047302344673607,-0.15509881181304444
neg_mean_absolute_error,15,-0.3272219308720585,-0.2117411605679635,-0.1958643108368051,-0.8091999607659345,-0.2959030312126764,-0.21257479207316338,-0.20657882672015074,-0.2993134549020585,-0.2932896853177348,-0.19496595529938235,-0.2397179265959642,-0.29983170935171544,-0.24937264378070334,-0.25828605969049806
