scoring,cv_cycle,AdaBoostRegressor,Anova,ExtraTreesRegressor,GradientBoostingRegressor,LassoCV,MutualInformation,NoFS,RandomForestRegressor,XGBRegressor
neg_mean_absolute_error,16,-0.16500044931722943,-0.16122529878066652,-0.15536920167766968,-0.16055449261654928,-0.17663031936822005,-0.16077658690284838,-0.1653010229490945,-0.15414270746728273,-0.16068182365849065
neg_mean_absolute_error,17,-0.16193771935280732,-0.17515097239603816,-0.1601829030927312,-0.153898448985406,-0.21047934315534453,-0.17735133422027863,-0.1755214310935516,-0.1568546551118985,-0.1586363850380333
neg_mean_absolute_error,18,-0.27925936533820306,-0.26673455934944723,-0.2610001391568669,-0.2612575152238816,-0.2713892665860276,-0.2748009695481683,-0.2798813198059451,-0.2657398845315821,-0.26447743004469654
neg_mean_absolute_error,19,-0.1908016084570345,-0.20023360450165584,-0.191382174682014,-0.18580787949421956,-0.19896956685794331,-0.20288674917841218,-0.19752934647591405,-0.18710403260499361,-0.1904987731725595
neg_mean_absolute_error,20,-0.1437602122352054,-0.1526333896302072,-0.14925837900580474,-0.14539056618112453,-0.20597854336277835,-0.15792279991318892,-0.16063640610305194,-0.15464338378967368,-0.14701818233704197
neg_mean_absolute_error,21,-0.2115495571703825,-0.20762242357842967,-0.22378600245136726,-0.22344743305565465,-0.20054005843030687,-0.2626581566852363,-0.23289526066854574,-0.22638712911809447,-0.2162230361236257
neg_mean_absolute_error,22,-0.2175913359526579,-0.21922153515392467,-0.22575793736200053,-0.22914973778117342,-0.3143923293120079,-0.20963461590552046,-0.2567414472922923,-0.22152932547713858,-0.2163144068890685
neg_mean_absolute_error,23,-0.15216941556508348,-0.14116805877440364,-0.15086308501756446,-0.14349869178897826,-0.17448830818131686,-0.1648844265383379,-0.16311513570155795,-0.14260352968595189,-0.1437768750600046
neg_mean_absolute_error,24,-0.18535012100596152,-0.17770957999369805,-0.17770686601056607,-0.18089443919905857,-0.22707535000730844,-0.1837692258315921,-0.19847765741527468,-0.1693647603586896,-0.17385481928526414
neg_mean_absolute_error,25,-0.15848199352100406,-0.16060469336886732,-0.151628392550474,-0.1476681793132416,-0.17886050524832497,-0.15447067487040964,-0.16086295822567964,-0.14774460928411806,-0.14002404147976588
neg_mean_absolute_error,mean,-0.18901271853551774,-0.18968439738011753,-0.18865929151056982,-0.18382017983326374,-0.22076668804336472,-0.1945325136884168,-0.20320967841308651,-0.18586554631890628,-0.1829537706356834
neg_mean_absolute_error,median,-0.1821329201682784,-0.181472743771428,-0.17971679668504678,-0.17206404274868933,-0.20597854336277835,-0.1837692258315921,-0.19598260225595504,-0.1699640983003318,-0.1799278088735571
neg_mean_absolute_error,std,0.03614776075433628,0.03590566130828504,0.036833779847947,0.03556516619798693,0.04201081342088449,0.037106362415548086,0.04076318530904198,0.03762362286893127,0.036842852249709526
neg_mean_absolute_percentage_error,1,-0.5980449760666605,-0.5056623220750406,-0.5510148507204681,-0.5468694952822866,-0.6421938482300705,-0.5825473481333645,-0.6185531270282865,-0.5242804717037853,-0.5167129345901342
neg_mean_absolute_percentage_error,2,-0.9608165195472642,-0.9953097772732947,-1.193958293160218,-0.8221676185572451,-0.7106151150196719,-0.9968908263960797,-1.1094718572784141,-0.9548108713185919,-1.0972693733293228
neg_mean_absolute_percentage_error,3,-0.889156813166405,-0.8569172552423802,-0.8571701273402185,-0.7677430578821848,-1.1917538677632868,-0.8536964413182851,-1.0250636829883966,-0.9307936493323056,-0.8970930845592168
neg_mean_absolute_percentage_error,4,-0.6312924074418159,-0.7147084966422816,-1.2302942273620905,-1.3734492977991024,-1.4169688398491005,-1.7918884687368024,-1.4098794826513508,-0.8302376777047433,-0.5169132713951957
neg_mean_absolute_percentage_error,5,-0.40575129438446456,-0.3059762865282394,-0.383831569620157,-0.3534519997723732,-0.3911743566130183,-0.3923085844881417,-0.38009964449725986,-0.374380329405218,-0.37141740814169605
neg_mean_absolute_percentage_error,6,-0.6136883813712034,-0.520724990732864,-0.5844962266555849,-0.5774567338752482,-0.6638670868157537,-0.62241571187417,-0.7150681688779293,-0.6290029884797917,-0.5338370770459343
neg_mean_absolute_percentage_error,7,-0.7963567742016227,-0.6961847967903925,-0.7330953942582691,-0.6022119431192691,-0.9460057683441236,-0.5594472004595743,-0.8830315896852867,-0.8768299876862744,-0.6993601771030639
neg_mean_absolute_percentage_error,8,-0.8601959932946436,-1.1741946800308753,-1.2797280560196191,-1.4337419509682283,-1.1459540064419043,-1.4393428995190116,-0.8959647610167972,-0.7986042793807899,-0.5129042182342423
neg_mean_absolute_percentage_error,9,-0.5417266092964133,-0.4930673013117389,-0.5307656274399927,-0.5018137808797344,-0.5639393272729472,-0.6222837031352774,-0.5427482215648843,-0.5344217126961642,-0.5010224281310655
